Date,City,Temperature,Humidity,Weather,City_Average_Temperature,Temperature_Deviation,Weather_Category
2026-07-01,Bengaluru,29.9,44.0,Sunny,25.58,4.32,Sunny
2026-07-01,Chennai,25.3,57.0,Cloudy,30.375,-5.07,Cloudy
2026-07-01,Delhi,30.9,40.0,Cloudy,33.20166666666667,-2.3,Cloudy
2026-07-01,Hyderabad,27.3,65.0,Cloudy,29.026666666666664,-1.73,Cloudy
2026-07-01,Kolkata,35.5,97.0,Rainy,30.563333333333333,4.94,Rainy
2026-07-01,Mumbai,27.9,58.0,Rainy,28.461666666666666,-0.56,Rainy
2026-07-02,Bengaluru,30.6,57.0,Cloudy,25.58,5.02,Cloudy
2026-07-02,Chennai,32.2,82.0,Rainy,30.375,1.83,Rainy
2026-07-02,Delhi,37.4,88.0,Rainy,33.20166666666667,4.2,Rainy
2026-07-02,Hyderabad,34.0,44.0,Rainy,29.026666666666664,4.97,Rainy
2026-07-02,Kolkata,29.5,38.0,Cloudy,30.563333333333333,-1.06,Cloudy
2026-07-02,Mumbai,33.9,54.0,Sunny,28.461666666666666,5.44,Sunny
2026-07-03,Bengaluru,25.9,85.0,Rainy,25.58,0.32,Rainy
2026-07-03,Chennai,34.6,56.0,Sunny,30.375,4.23,Sunny
2026-07-03,Delhi,38.4,47.0,Cloudy,33.20166666666667,5.2,Cloudy
2026-07-03,Hyderabad,35.0,67.0,Sunny,29.026666666666664,5.97,Sunny
2026-07-03,Kolkata,28.3,33.0,Sunny,30.563333333333333,-2.26,Sunny
2026-07-03,Mumbai,26.9,58.0,Cloudy,28.461666666666666,-1.56,Cloudy
2026-07-04,Bengaluru,24.7,58.0,Cloudy,25.58,-0.88,Cloudy
2026-07-04,Chennai,34.0,32.0,Sunny,30.375,3.62,Sunny
2026-07-04,Delhi,36.3,39.0,Sunny,33.20166666666667,3.1,Sunny
2026-07-04,Hyderabad,20.0,40.0,Cloudy,29.026666666666664,-9.03,Cloudy
2026-07-04,Kolkata,27.9,57.0,Sunny,30.563333333333333,-2.66,Sunny
2026-07-04,Mumbai,27.1,60.0,Cloudy,28.461666666666666,-1.36,Cloudy
2026-07-05,Bengaluru,32.0,30.0,Cloudy,25.58,6.42,Cloudy
2026-07-05,Chennai,28.0,78.0,Cloudy,30.375,-2.38,Cloudy
2026-07-05,Delhi,35.5,36.0,Cloudy,33.20166666666667,2.3,Cloudy
2026-07-05,Hyderabad,28.4,62.0,Sunny,29.026666666666664,-0.63,Sunny
2026-07-05,Kolkata,27.1,59.0,Rainy,30.563333333333333,-3.46,Rainy
2026-07-05,Mumbai,27.5,65.0,Sunny,28.461666666666666,-0.96,Sunny
2026-07-06,Bengaluru,28.3,39.0,Cloudy,25.58,2.72,Cloudy
2026-07-06,Chennai,37.9,58.0,Sunny,30.375,7.52,Sunny
2026-07-06,Delhi,30.2,66.0,Rainy,33.20166666666667,-3.0,Rainy
2026-07-06,Hyderabad,28.6,65.0,Sunny,29.026666666666664,-0.43,Sunny
2026-07-06,Kolkata,31.8,88.0,Rainy,30.563333333333333,1.24,Rainy
2026-07-06,Mumbai,26.6,54.0,Sunny,28.461666666666666,-1.86,Sunny
2026-07-07,Bengaluru,29.5,67.0,Cloudy,25.58,3.92,Cloudy
2026-07-07,Chennai,35.9,50.0,Sunny,30.375,5.52,Sunny
2026-07-07,Delhi,31.5,75.0,Rainy,33.20166666666667,-1.7,Rainy
2026-07-07,Hyderabad,31.3,75.0,Rainy,29.026666666666664,2.27,Rainy
2026-07-07,Kolkata,30.7,40.0,Cloudy,30.563333333333333,0.14,Cloudy
2026-07-07,Mumbai,31.8,71.0,Rainy,28.461666666666666,3.34,Rainy
2026-07-08,Bengaluru,25.3,63.0,Rainy,25.58,-0.28,Rainy
2026-07-08,Chennai,27.0,35.0,Sunny,30.375,-3.38,Sunny
2026-07-08,Delhi,42.2,56.0,Sunny,33.20166666666667,9.0,Sunny
2026-07-08,Hyderabad,31.0,45.0,Cloudy,29.026666666666664,1.97,Cloudy
