Date,City,Temperature,Humidity,Weather
2026-07-01,Delhi,30.9,40.0,Cloudy
2026-07-01,Mumbai,27.9,58.0,Rainy
2026-07-01,Bengaluru,29.9,44.0,Sunny
2026-07-01,Chennai,25.3,57.0,Cloudy
2026-07-01,Kolkata,35.5,97.0,Rainy
2026-07-01,Hyderabad,27.3,65.0,Cloudy
2026-07-02,Delhi,37.4,88.0,Rainy
2026-07-02,Mumbai,33.9,54.0,Sunny
2026-07-02,Bengaluru,30.6,57.0,Cloudy
2026-07-02,Chennai,32.2,82.0,Rainy
2026-07-02,Kolkata,,38.0,Cloudy
2026-07-02,Hyderabad,34.0,44.0,Rainy
2026-07-03,Delhi,38.4,47.0,Cloudy
2026-07-03,Mumbai,26.9,58.0,Cloudy
2026-07-03,Bengaluru,25.9,85.0,Rainy
2026-07-03,Chennai,34.6,56.0,Sunny
2026-07-03,Kolkata,28.3,33.0,Sunny
2026-07-03,Hyderabad,35.0,67.0,Sunny
2026-07-04,Delhi,36.3,39.0,Sunny
2026-07-04,Mumbai,27.1,60.0,Cloudy
2026-07-04,Bengaluru,24.7,58.0,Cloudy
2026-07-04,Chennai,34.0,32.0,Sunny
2026-07-04,Kolkata,27.9,57.0,Sunny
2026-07-04,Hyderabad,20.0,40.0,Cloudy
2026-07-05,Delhi,35.5,36.0,Cloudy
2026-07-05,Mumbai,27.5,65.0,
2026-07-05,Bengaluru,32.0,30.0,Cloudy
2026-07-05,Chennai,28.0,78.0,Cloudy
2026-07-05,Kolkata,27.1,59.0,Rainy
2026-07-05,Hyderabad,28.4,62.0,Sunny
2026-07-06,Delhi,30.2,66.0,Rainy
2026-07-06,Mumbai,26.6,54.0,Sunny
2026-07-06,Bengaluru,28.3,39.0,Cloudy
2026-07-06,Chennai,37.9,58.0,Sunny
2026-07-06,Kolkata,31.8,88.0,Rainy
2026-07-06,Hyderabad,28.6,65.0,Sunny
2026-07-07,Delhi,31.5,75.0,Rainy
2026-07-07,Mumbai,31.8,71.0,Rainy
2026-07-07,Bengaluru,29.5,67.0,Cloudy
2026-07-07,Chennai,35.9,50.0,Sunny
2026-07-07,Kolkata,30.7,40.0,Cloudy
