Transaction_ID,Transaction_Date,Account_ID,Transaction_Category,Amount,Payment_Method,City,Status,Risk_Score,Risk_Level
TXN100036,2026-06-02 21:47:00,ACC1002,Bills,233189.05,Net Banking,Pune,Completed,60,High
TXN100132,2026-06-03 11:21:00,ACC1070,Healthcare,1216.62,UPI,Kolkata,Completed,35,Medium
TXN100132,2026-06-03 11:21:00,ACC1070,Healthcare,1216.62,UPI,Kolkata,Completed,35,Medium
TXN100420,2026-06-04 21:20:00,ACC1020,Food & Dining,154627.67,Wallet,Bengaluru,Completed,60,High
TXN100493,2026-06-08 09:27:00,ACC1061,Healthcare,197887.92,Net Banking,Chennai,Completed,60,High
TXN100280,2026-06-09 19:28:00,ACC1009,Healthcare,193164.85,Wallet,Chennai,Completed,60,High
TXN100376,2026-06-15 19:57:00,ACC1042,Healthcare,177277.31,Debit Card,Chennai,Failed,95,Critical
TXN100193,2026-06-16 11:39:00,ACC1076,Transfer,122138.48,Credit Card,Pune,Completed,60,High
TXN100292,2026-06-16 17:51:00,ACC1069,Transfer,76017.25,Debit Card,Kolkata,Completed,40,Medium
TXN100293,2026-06-18 11:44:00,ACC1026,Shopping,2409.35,Net Banking,Chennai,Completed,35,Medium
TXN100293,2026-06-18 11:44:00,ACC1026,Shopping,2409.35,Net Banking,Chennai,Completed,35,Medium
TXN100210,2026-06-19 03:05:00,ACC1003,Healthcare,223650.73,Wallet,Ahmedabad,Failed,95,Critical
TXN100216,2026-06-21 21:20:00,ACC1019,Shopping,157418.01,Net Banking,Ahmedabad,Completed,85,Critical
TXN100413,2026-06-22 08:26:00,ACC1011,Shopping,229110.83,UPI,Ahmedabad,Completed,85,Critical
TXN100091,2026-06-23 15:26:00,ACC1070,Food & Dining,130975.41,Net Banking,Mumbai,Completed,60,High
TXN100438,2026-06-23 15:55:00,ACC1026,Travel,552.36,UPI,Hyderabad,Pending,35,Medium
TXN100438,2026-06-23 15:55:00,ACC1026,Travel,552.36,UPI,Hyderabad,Pending,35,Medium
TXN100460,2026-06-23 17:45:00,ACC1027,Transfer,2076.51,Net Banking,Kolkata,Failed,70,High
TXN100460,2026-06-23 17:45:00,ACC1027,Transfer,2076.51,Net Banking,Kolkata,Failed,70,High
TXN100109,2026-06-28 03:39:00,ACC1059,Shopping,178788.91,Credit Card,Mumbai,Completed,60,High
