Transaction_ID,Transaction_Date,Account_ID,Transaction_Category,Amount,Payment_Method,City,Status
TXN100166,2026-06-01 03:26:00,ACC1027,Healthcare,3413.33,Net Banking,Bengaluru,Completed
TXN100444,2026-06-01 05:01:00,ACC1073,Bills,845.58,Wallet,Chennai,Pending
TXN100018,2026-06-01 12:49:00,ACC1008,Food & Dining,2036.94,Credit Card,Mumbai,Completed
TXN100262,2026-06-01 14:14:00,ACC1032,Shopping,5032.31,Debit Card,Pune,Completed
TXN100001,2026-06-01 14:20:00,ACC1048,Bills,1049.24,Wallet,Kolkata,Completed
TXN100096,2026-06-01 16:56:00,ACC1004,Travel,2477.27,Wallet,Chennai,Failed
TXN100321,2026-06-02 06:02:00,ACC1011,Entertainment,3493.09,Net Banking,Pune,Completed
TXN100339,2026-06-02 10:09:00,ACC1071,Healthcare,1679.79,Debit Card,Kolkata,Pending
TXN100372,2026-06-02 12:40:00,ACC1058,Transfer,1039.57,Wallet,Hyderabad,Pending
TXN100369,2026-06-02 18:37:00,ACC1068,Shopping,2243.65,Net Banking,Bengaluru,Completed
TXN100118,2026-06-02 18:48:00,ACC1025,Transfer,373.37,Net Banking,Kolkata,Failed
TXN100200,2026-06-02 20:53:00,ACC1003,Travel,1105.71,Wallet,Bengaluru,Failed
TXN100122,2026-06-02 20:55:00,ACC1058,Bills,876.34,Net Banking,Delhi,Failed
TXN100036,2026-06-02 21:47:00,ACC1002,Bills,233189.05,Net Banking,Pune,Completed
TXN100302,2026-06-02 22:51:00,ACC1036,Travel,2682.28,Net Banking,Chennai,Pending
TXN100379,2026-06-02 23:49:00,ACC1008,Food & Dining,9900.73,Credit Card,Bengaluru,Failed
TXN100310,2026-06-03 00:31:00,ACC1003,Shopping,3108.75,UPI,Ahmedabad,Completed
TXN100442,2026-06-03 09:00:00,ACC1008,Healthcare,343.47,Credit Card,Ahmedabad,Pending
TXN100408,2026-06-03 09:16:00,ACC1072,Transfer,1056.08,Credit Card,Bengaluru,Pending
TXN100132,2026-06-03 11:21:00,ACC1070,Healthcare,1216.62,UPI,Kolkata,Completed
TXN100132,2026-06-03 11:21:00,ACC1070,Healthcare,1216.62,UPI,Kolkata,Completed
TXN100229,2026-06-03 14:28:00,ACC1011,Transfer,4967.39,Credit Card,Pune,Completed
TXN100049,2026-06-03 16:50:00,ACC1057,Entertainment,1595.97,Debit Card,Chennai,Pending
TXN100390,2026-06-03 18:27:00,ACC1015,Bills,2847.39,Debit Card,Pune,Completed
TXN100470,2026-06-03 18:54:00,ACC1027,Transfer,1053.02,Credit Card,Mumbai,Failed
TXN100355,2026-06-04 02:59:00,ACC1068,Bills,1515.96,Wallet,Delhi,Pending
TXN100124,2026-06-04 15:38:00,ACC1005,Shopping,2257.95,Wallet,Ahmedabad,Failed
TXN100023,2026-06-04 16:31:00,ACC1003,Food & Dining,1708.64,Credit Card,Hyderabad,Failed
TXN100226,2026-06-04 20:10:00,ACC1022,Food & Dining,1105.85,UPI,Hyderabad,Completed
TXN100364,2026-06-04 20:19:00,ACC1002,Food & Dining,921.96,UPI,Delhi,Completed
TXN100420,2026-06-04 21:20:00,ACC1020,Food & Dining,154627.67,Wallet,Bengaluru,Completed
TXN100487,2026-06-05 00:41:00,ACC1058,Healthcare,3586.22,Debit Card,Bengaluru,Failed
TXN100411,2026-06-05 02:15:00,ACC1019,Shopping,941.33,Credit Card,Delhi,Failed
TXN100454,2026-06-05 05:42:00,ACC1011,Travel,895.48,Debit Card,Mumbai,Failed
TXN100007,2026-06-05 08:25:00,ACC1004,Travel,308.53,Credit Card,Hyderabad,Pending
TXN100356,2026-06-05 08:55:00,ACC1038,Travel,2235.73,Net Banking,Delhi,Completed
TXN100219,2026-06-05 16:56:00,ACC1027,Travel,475.88,Wallet,Pune,Failed
TXN100404,2026-06-05 18:53:00,ACC1060,Healthcare,934.23,UPI,Delhi,Completed
TXN100162,2026-06-05 19:10:00,ACC1054,Healthcare,3708.98,Credit Card,Pune,Failed
TXN100265,2026-06-06 03:12:00,ACC1043,Food & Dining,292.04,Credit Card,Bengaluru,Completed
TXN100349,2026-06-06 03:20:00,ACC1027,Food & Dining,4489.32,Wallet,Hyderabad,Failed
TXN100156,2026-06-06 15:10:00,ACC1044,Bills,1263.09,UPI,Kolkata,Completed
TXN100322,2026-06-06 15:55:00,ACC1011,Food & Dining,3581.99,Debit Card,Kolkata,Completed
TXN100138,2026-06-06 19:52:00,ACC1046,Travel,522.75,Debit Card,Ahmedabad,Pending
TXN100110,2026-06-06 22:51:00,ACC1019,Shopping,1756.65,Net Banking,Pune,Completed
TXN100313,2026-06-07 00:40:00,ACC1010,Food & Dining,1089.92,Debit Card,Ahmedabad,Completed
TXN100494,2026-06-07 01:16:00,ACC1006,Entertainment,1082.46,Net Banking,Delhi,Failed
TXN100055,2026-06-07 02:32:00,ACC1058,Travel,1775.26,Credit Card,Mumbai,Pending
TXN100104,2026-06-07 10:28:00,ACC1007,Shopping,418.19,Net Banking,Mumbai,Failed
TXN100222,2026-06-07 13:54:00,ACC1077,Bills,803.87,Debit Card,Mumbai,Failed
TXN100083,2026-06-07 17:32:00,ACC1042,Shopping,1000.23,Net Banking,Pune,Completed
TXN100451,2026-06-08 06:52:00,ACC1058,Shopping,380.88,Wallet,Mumbai,Completed
TXN100054,2026-06-08 09:07:00,ACC1027,Entertainment,1355.11,Wallet,Chennai,Failed
TXN100493,2026-06-08 09:27:00,ACC1061,Healthcare,197887.92,Net Banking,Chennai,Completed
TXN100476,2026-06-08 10:49:00,ACC1045,Transfer,1670.53,Debit Card,Mumbai,Completed
TXN100150,2026-06-08 14:45:00,ACC1031,Entertainment,773.08,UPI,Hyderabad,Completed
TXN100471,2026-06-08 16:53:00,ACC1042,Entertainment,3135.54,Net Banking,Hyderabad,Pending
TXN100319,2026-06-08 17:11:00,ACC1034,Entertainment,2987.82,UPI,Pune,Completed
TXN100047,2026-06-08 21:54:00,ACC1019,Food & Dining,922.56,Net Banking,Delhi,Completed
TXN100309,2026-06-08 22:11:00,ACC1015,Transfer,672.3,Net Banking,Mumbai,Pending
