Date,Ticker,Sector,Close,Quantity
2026-07-01,RELIANCE,Energy,1463.82,10
2026-07-02,RELIANCE,Energy,1510.0,10
2026-07-03,RELIANCE,Energy,1505.08,10
2026-07-04,RELIANCE,Energy,1481.12,10
2026-07-05,RELIANCE,Energy,1484.92,10
2026-07-06,RELIANCE,Energy,1527.63,10
2026-07-07,RELIANCE,Energy,1539.18,10
2026-07-08,RELIANCE,Energy,1533.12,10
2026-07-09,RELIANCE,Energy,1512.27,10
2026-07-10,RELIANCE,Energy,1500.45,10
2026-07-11,RELIANCE,Energy,1509.54,10
2026-07-12,RELIANCE,Energy,1444.3,10
2026-07-13,RELIANCE,Energy,1429.53,10
2026-07-14,RELIANCE,Energy,1385.99,10
2026-07-15,RELIANCE,Energy,1393.91,10
2026-07-16,RELIANCE,Energy,1427.1,10
2026-07-17,RELIANCE,Energy,1412.53,10
2026-07-18,RELIANCE,Energy,1407.88,10
2026-07-19,RELIANCE,Energy,1396.34,10
2026-07-20,RELIANCE,Energy,1409.01,10
2026-07-21,RELIANCE,Energy,1408.71,10
2026-07-22,RELIANCE,Energy,1391.3,10
2026-07-23,RELIANCE,Energy,1388.79,10
2026-07-24,RELIANCE,Energy,1395.29,10
2026-07-25,RELIANCE,Energy,1415.89,10
2026-07-26,RELIANCE,Energy,1435.7,10
2026-07-27,RELIANCE,Energy,1416.78,10
2026-07-28,RELIANCE,Energy,1428.79,10
2026-07-29,RELIANCE,Energy,1433.67,10
2026-07-30,RELIANCE,Energy,1427.71,10
2026-07-01,TCS,IT,3164.5,5
2026-07-02,TCS,IT,3172.26,5
2026-07-03,TCS,IT,3230.36,5
2026-07-04,TCS,IT,3320.09,5
2026-07-05,TCS,IT,3230.71,5
2026-07-06,TCS,IT,3290.94,5
2026-07-07,TCS,IT,3260.19,5
2026-07-08,TCS,IT,3292.16,5
2026-07-09,TCS,IT,3296.86,5
2026-07-10,TCS,IT,3347.93,5
2026-07-11,TCS,IT,3323.24,5
2026-07-12,TCS,IT,3364.63,5
2026-07-13,TCS,IT,3388.7,5
2026-07-14,TCS,IT,3350.4,5
2026-07-15,TCS,IT,3416.05,5
2026-07-16,TCS,IT,3434.17,5
2026-07-17,TCS,IT,3385.34,5
2026-07-18,TCS,IT,3450.39,5
2026-07-19,TCS,IT,3451.21,5
2026-07-20,TCS,IT,3566.88,5
2026-07-21,TCS,IT,3569.49,5
2026-07-22,TCS,IT,3577.83,5
2026-07-23,TCS,IT,3647.66,5
2026-07-24,TCS,IT,3739.87,5
2026-07-25,TCS,IT,3824.31,5
2026-07-26,TCS,IT,3776.0,5
2026-07-27,TCS,IT,3815.9,5
2026-07-28,TCS,IT,3669.85,5
2026-07-29,TCS,IT,3690.01,5
2026-07-30,TCS,IT,3549.12,5
2026-07-01,HDFCBANK,Banking,1702.73,8
2026-07-02,HDFCBANK,Banking,1691.41,8
2026-07-03,HDFCBANK,Banking,1648.69,8
2026-07-04,HDFCBANK,Banking,1678.97,8
2026-07-05,HDFCBANK,Banking,1690.97,8
2026-07-06,HDFCBANK,Banking,1700.17,8
2026-07-07,HDFCBANK,Banking,1722.86,8
2026-07-08,HDFCBANK,Banking,1739.07,8
2026-07-09,HDFCBANK,Banking,1749.71,8
2026-07-10,HDFCBANK,Banking,1759.42,8
2026-07-11,HDFCBANK,Banking,1808.22,8
2026-07-12,HDFCBANK,Banking,1760.74,8
2026-07-13,HDFCBANK,Banking,1716.29,8
2026-07-14,HDFCBANK,Banking,1703.82,8
2026-07-15,HDFCBANK,Banking,1713.57,8
2026-07-16,HDFCBANK,Banking,1714.38,8
2026-07-17,HDFCBANK,Banking,1763.68,8
2026-07-18,HDFCBANK,Banking,1722.7,8
2026-07-19,HDFCBANK,Banking,1712.17,8
2026-07-20,HDFCBANK,Banking,1713.18,8
2026-07-21,HDFCBANK,Banking,1738.41,8
2026-07-22,HDFCBANK,Banking,1719.05,8
2026-07-23,HDFCBANK,Banking,1712.03,8
2026-07-24,HDFCBANK,Banking,1677.68,8
2026-07-25,HDFCBANK,Banking,1704.49,8
2026-07-26,HDFCBANK,Banking,1712.74,8
2026-07-27,HDFCBANK,Banking,1626.6,8
2026-07-28,HDFCBANK,Banking,1637.81,8
2026-07-29,HDFCBANK,Banking,1623.7,8
2026-07-30,HDFCBANK,Banking,1605.82,8
2026-07-01,INFY,IT,1554.72,7
2026-07-02,INFY,IT,1595.67,7
2026-07-03,INFY,IT,1580.04,7
2026-07-04,INFY,IT,1520.14,7
2026-07-05,INFY,IT,1553.84,7
2026-07-06,INFY,IT,1614.87,7
2026-07-07,INFY,IT,1614.67,7
2026-07-08,INFY,IT,1604.97,7
2026-07-09,INFY,IT,1606.38,7
2026-07-10,INFY,IT,1584.18,7
2026-07-11,INFY,IT,1589.04,7
2026-07-12,INFY,IT,1593.98,7
2026-07-13,INFY,IT,1637.0,7
2026-07-14,INFY,IT,1614.66,7
2026-07-15,INFY,IT,1634.88,7
2026-07-16,INFY,IT,1649.72,7
2026-07-17,INFY,IT,1671.41,7
2026-07-18,INFY,IT,1672.04,7
2026-07-19,INFY,IT,1673.36,7
2026-07-20,INFY,IT,1744.33,7
2026-07-21,INFY,IT,1765.41,7
2026-07-22,INFY,IT,1745.69,7
2026-07-23,INFY,IT,1709.66,7
2026-07-24,INFY,IT,1695.45,7
2026-07-25,INFY,IT,1665.95,7
2026-07-26,INFY,IT,1649.43,7
2026-07-27,INFY,IT,1621.06,7
2026-07-28,INFY,IT,1615.99,7
2026-07-29,INFY,IT,1632.59,7
2026-07-30,INFY,IT,1667.81,7
2026-07-01,SUNPHARMA,Healthcare,1779.9,6
2026-07-02,SUNPHARMA,Healthcare,1807.23,6
2026-07-03,SUNPHARMA,Healthcare,1822.19,6
2026-07-04,SUNPHARMA,Healthcare,1868.64,6
2026-07-05,SUNPHARMA,Healthcare,1867.47,6
2026-07-06,SUNPHARMA,Healthcare,1858.72,6
2026-07-07,SUNPHARMA,Healthcare,1890.1,6
2026-07-08,SUNPHARMA,Healthcare,1882.96,6
2026-07-09,SUNPHARMA,Healthcare,1877.42,6
2026-07-10,SUNPHARMA,Healthcare,1869.86,6
2026-07-11,SUNPHARMA,Healthcare,1873.46,6
2026-07-12,SUNPHARMA,Healthcare,1896.22,6
2026-07-13,SUNPHARMA,Healthcare,1844.43,6
2026-07-14,SUNPHARMA,Healthcare,1846.28,6
2026-07-15,SUNPHARMA,Healthcare,1835.96,6
2026-07-16,SUNPHARMA,Healthcare,1821.43,6
2026-07-17,SUNPHARMA,Healthcare,1853.73,6
2026-07-18,SUNPHARMA,Healthcare,1863.2,6
2026-07-19,SUNPHARMA,Healthcare,1917.16,6
2026-07-20,SUNPHARMA,Healthcare,1919.53,6
2026-07-21,SUNPHARMA,Healthcare,1932.34,6
2026-07-22,SUNPHARMA,Healthcare,1901.86,6
2026-07-23,SUNPHARMA,Healthcare,1905.36,6
2026-07-24,SUNPHARMA,Healthcare,1938.61,6
2026-07-25,SUNPHARMA,Healthcare,2003.13,6
2026-07-26,SUNPHARMA,Healthcare,1994.91,6
2026-07-27,SUNPHARMA,Healthcare,1994.95,6
2026-07-28,SUNPHARMA,Healthcare,1931.37,6
2026-07-29,SUNPHARMA,Healthcare,1926.8,6
2026-07-30,SUNPHARMA,Healthcare,1938.63,6
2026-07-01,ITC,FMCG,508.29,15
2026-07-02,ITC,FMCG,529.16,15
2026-07-03,ITC,FMCG,532.83,15
2026-07-04,ITC,FMCG,547.34,15
2026-07-05,ITC,FMCG,539.69,15
2026-07-06,ITC,FMCG,534.87,15
2026-07-07,ITC,FMCG,556.65,15
2026-07-08,ITC,FMCG,558.71,15
2026-07-09,ITC,FMCG,551.25,15
2026-07-10,ITC,FMCG,566.96,15
2026-07-11,ITC,FMCG,558.33,15
2026-07-12,ITC,FMCG,549.54,15
2026-07-13,ITC,FMCG,551.7,15
2026-07-14,ITC,FMCG,546.37,15
2026-07-15,ITC,FMCG,534.22,15
2026-07-16,ITC,FMCG,535.77,15
2026-07-17,ITC,FMCG,523.46,15
2026-07-18,ITC,FMCG,522.75,15
2026-07-19,ITC,FMCG,514.61,15
2026-07-20,ITC,FMCG,520.05,15
2026-07-21,ITC,FMCG,558.24,15
2026-07-22,ITC,FMCG,553.91,15
2026-07-23,ITC,FMCG,549.1,15
2026-07-24,ITC,FMCG,522.17,15
2026-07-25,ITC,FMCG,520.9,15
2026-07-26,ITC,FMCG,507.38,15
2026-07-27,ITC,FMCG,516.41,15
2026-07-28,ITC,FMCG,521.83,15
2026-07-29,ITC,FMCG,511.24,15
2026-07-30,ITC,FMCG,519.17,15
