Category,Budget,Actual,Variance,Used %,Status
Food & Dining,10000,20940.0,-10940.0,209.39999999999998,Over Budget
Transport,5000,11100.0,-6100.0,222.00000000000003,Over Budget
Shopping,7000,8500.0,-1500.0,121.42857142857142,Over Budget
Bills & Utilities,7000,7900.0,-900.0,112.85714285714286,Over Budget
Entertainment,4000,2066.0,1934.0,51.65,Within Budget
Health,4000,3200.0,800.0,80.0,Within Budget
Education,3000,2700.0,300.0,90.0,Within Budget
Travel,5000,0.0,5000.0,0.0,Within Budget
Rent & Housing,15000,60000.0,-45000.0,400.0,Over Budget
Personal Care,2500,0.0,2500.0,0.0,Within Budget
Other,3000,0.0,3000.0,0.0,Within Budget
