Day,Amount
2026-05-01,15000
2026-05-03,3200
2026-05-05,450
2026-05-07,1800
2026-05-09,1800
2026-05-12,649
2026-05-15,700
2026-05-18,420
2026-05-22,2200
2026-05-25,1200
2026-06-01,15000
2026-06-03,580
2026-06-05,3500
2026-06-07,380
2026-06-10,1900
2026-06-12,2100
2026-06-15,119
2026-06-18,900
2026-06-20,450
2026-06-23,2300
2026-06-27,1500
2026-07-01,15000
2026-07-03,520
2026-07-05,3700
2026-07-07,420
2026-07-10,2050
2026-07-12,2400
2026-07-15,649
2026-07-18,850
2026-07-20,480
2026-07-24,2400
2026-07-28,1450
2026-08-01,15000
2026-08-03,620
2026-08-05,3900
2026-08-07,450
2026-08-10,2150
2026-08-12,2200
2026-08-15,649
2026-08-18,750
2026-08-20,520
2026-08-24,2500
2026-08-28,1600
